palabras_procesadas,caracteres_totales,porcentaje_caracteres_escritos,tiempo_total_ms,tiempo_por_palabra_ms,tiempo_por_caracter_ms
1,12,100.000000,0.099,0.099200,0.008266667
2,20,100.000000,0.409,0.204600,0.020460000
4,39,100.000000,0.615,0.153825,0.015776923
8,70,100.000000,0.831,0.103900,0.011874286
16,151,100.000000,1.044,0.065219,0.006910596
32,299,100.000000,1.280,0.039984,0.004279264
64,619,100.000000,1.546,0.024155,0.002497415
128,1221,100.000000,1.836,0.014345,0.001503849
256,2433,100.000000,2.194,0.008571,0.000901808
512,4770,99.811321,2.681,0.005236,0.000562055
1024,9528,99.769102,3.291,0.003214,0.000345393
2048,18935,99.677845,4.138,0.002021,0.000218537
4096,37566,99.592717,5.470,0.001336,0.000145618
8192,75381,99.124448,7.893,0.000964,0.000104712
16384,151098,98.569141,12.400,0.000757,0.000082063
32768,302072,97.454911,21.105,0.000644,0.000069867
65536,603994,95.537373,38.125,0.000582,0.000063122
131072,1206649,92.872741,75.276,0.000574,0.000062384
262144,2414001,89.312888,159.276,0.000608,0.000065980
524288,4827370,85.478718,360.319,0.000687,0.000074641
1048576,9653507,82.324465,746.239,0.000712,0.000077302
2097152,19307423,80.416610,1533.962,0.000731,0.000079449
4194304,38597959,79.450214,3093.664,0.000738,0.000080151
