palabras_procesadas,caracteres_totales,porcentaje_caracteres_escritos,tiempo_total_ms,tiempo_por_palabra_ms,tiempo_por_caracter_ms
1,1,100.000000,0.001,0.000500,0.000500000
2,4,100.000000,0.355,0.177350,0.088675000
4,12,100.000000,0.445,0.111350,0.037116667
8,38,100.000000,0.531,0.066400,0.013978947
16,66,92.424242,0.630,0.039363,0.009542424
32,148,93.243243,0.720,0.022484,0.004861486
64,292,94.863014,0.808,0.012623,0.002766781
128,579,92.400691,0.901,0.007037,0.001555613
256,1170,92.478632,1.023,0.003997,0.000874615
512,2294,91.281604,1.238,0.002417,0.000539494
1024,4604,90.529974,1.401,0.001368,0.000304257
2048,9126,89.601140,1.756,0.000857,0.000192384
4096,18185,88.627990,2.176,0.000531,0.000119632
8192,36353,87.552609,2.840,0.000347,0.000078134
16384,73015,86.378141,4.092,0.000250,0.000056038
32768,145969,85.305784,6.521,0.000199,0.000044672
65536,290841,84.419666,11.343,0.000173,0.000039000
131072,581097,83.925919,20.614,0.000157,0.000035474
262144,1162547,84.266959,37.516,0.000143,0.000032270
524288,2323928,84.683303,76.997,0.000147,0.000033132
1048576,4645384,85.164133,145.009,0.000138,0.000031216
2097152,9292568,85.649866,309.004,0.000147,0.000033253
4194304,18577970,86.005322,607.327,0.000145,0.000032691
