palabras_procesadas,caracteres_totales,porcentaje_caracteres_escritos,tiempo_total_ms,tiempo_por_palabra_ms,tiempo_por_caracter_ms
1,8,100.000000,0.196,0.196300,0.024537500
2,11,100.000000,17.984,8.991800,1.634872727
4,18,100.000000,18.467,4.616725,1.025938889
8,24,100.000000,18.920,2.365025,0.788341667
16,64,100.000000,19.501,1.218806,0.304701563
32,148,97.972973,20.063,0.626963,0.135559459
64,321,88.161994,20.616,0.322125,0.064224299
128,660,84.393939,21.290,0.166327,0.032257424
256,1331,85.274230,22.176,0.086624,0.016661007
512,2631,79.285443,23.501,0.045900,0.008932269
1024,5240,73.053435,24.904,0.024321,0.004752729
2048,10649,75.518828,27.836,0.013592,0.002613954
4096,21348,79.834177,32.365,0.007902,0.001516067
8192,49801,80.606815,34.983,0.004270,0.000702450
16384,92245,82.607187,39.340,0.002401,0.000426475
32768,176047,82.432532,46.175,0.001409,0.000262288
65536,342224,82.349280,57.002,0.000870,0.000166564
131072,682475,81.542621,82.467,0.000629,0.000120836
262144,1342681,81.912755,103.598,0.000395,0.000077157
524288,2676605,82.356044,142.447,0.000272,0.000053219
1048576,5331079,83.035686,219.419,0.000209,0.000041158
2097152,10666905,83.675246,386.890,0.000184,0.000036270
4194304,21369648,84.503334,688.657,0.000164,0.000032226
