palabras_procesadas,caracteres_totales,porcentaje_caracteres_escritos,tiempo_total_ms,tiempo_por_palabra_ms,tiempo_por_caracter_ms
1,12,100.000000,0.069,0.069200,0.005766667
2,20,100.000000,0.432,0.216200,0.021620000
4,39,100.000000,0.657,0.164300,0.016851282
8,70,100.000000,0.948,0.118463,0.013538571
16,151,100.000000,1.224,0.076513,0.008107285
32,299,100.000000,1.577,0.049281,0.005274247
64,619,100.000000,1.937,0.030270,0.003129725
128,1221,100.000000,2.374,0.018545,0.001944062
256,2433,100.000000,2.753,0.010752,0.001131319
512,4770,99.811321,3.298,0.006442,0.000691447
1024,9528,99.769102,3.978,0.003884,0.000417464
2048,18935,99.677845,5.002,0.002442,0.000264140
4096,37566,99.592717,6.850,0.001672,0.000182348
8192,75381,99.124448,10.417,0.001272,0.000138193
16384,151098,98.569141,16.252,0.000992,0.000107558
32768,302072,97.454911,27.668,0.000844,0.000091593
65536,603994,95.537373,48.993,0.000748,0.000081114
131072,1206649,92.872741,95.426,0.000728,0.000079083
262144,2414001,89.312888,197.599,0.000754,0.000081855
524288,4827370,85.478718,395.307,0.000754,0.000081889
1048576,9653507,82.324465,756.128,0.000721,0.000078327
2097152,19307423,80.416610,1498.446,0.000715,0.000077610
4194304,38597959,79.450214,2953.837,0.000704,0.000076528
