palabras_procesadas,caracteres_totales,porcentaje_caracteres_escritos,tiempo_total_ms,tiempo_por_palabra_ms,tiempo_por_caracter_ms
1,1,100.000000,0.001,0.000600,0.000600000
2,4,100.000000,0.231,0.115450,0.057725000
4,12,100.000000,0.300,0.075025,0.025008333
8,38,100.000000,0.363,0.045400,0.009557895
16,66,92.424242,0.423,0.026431,0.006407576
32,148,93.243243,0.483,0.015078,0.003260135
64,292,94.863014,0.612,0.009567,0.002096918
128,579,92.400691,0.767,0.005995,0.001325389
256,1170,92.478632,0.928,0.003627,0.000793504
512,2294,91.281604,1.199,0.002342,0.000522799
1024,4604,90.529974,1.439,0.001405,0.000312511
2048,9126,89.601140,1.825,0.000891,0.000199978
4096,18185,88.627990,2.315,0.000565,0.000127286
8192,36353,87.552609,2.995,0.000366,0.000082384
16384,73015,86.378141,4.191,0.000256,0.000057399
32768,145969,85.305784,6.512,0.000199,0.000044611
65536,290841,84.419666,11.008,0.000168,0.000037849
131072,581097,83.925919,19.852,0.000151,0.000034162
262144,1162547,84.266959,37.587,0.000143,0.000032332
524288,2323928,84.683303,72.826,0.000139,0.000031337
1048576,4645384,85.164133,139.915,0.000133,0.000030119
2097152,9292568,85.649866,287.087,0.000137,0.000030894
4194304,18577970,86.005322,568.751,0.000136,0.000030614
